county,case_count,death_cases,lab_tests
ADAMS,2,0,21
ALLEN,87,6,598
BARTHOLOMEW,55,4,145
BENTON,0,0,35
BLACKFORD,4,0,41
BOONE,74,1,350
BROWN,8,1,22
CARROLL,3,0,46
CASS,12,0,47
CLARK,82,7,426
CLAY,7,0,66
CLINTON,5,0,134
CRAWFORD,9,0,45
DAVIESS,4,0,58
DEARBORN,41,1,106
DECATUR,90,6,139
DEKALB,4,0,45
DELAWARE,40,1,508
DUBOIS,7,0,44
ELKHART,43,3,676
FAYETTE,18,3,83
FLOYD,74,1,423
FOUNTAIN,2,1,49
FRANKLIN,60,7,110
FULTON,3,0,36
GIBSON,4,0,18
GRANT,20,2,140
GREENE,11,0,89
HAMILTON,363,10,1481
HANCOCK,89,2,486
HARRISON,48,1,199
HENDRICKS,225,5,842
HENRY,16,0,171
HOWARD,37,4,230
HUNTINGTON,6,1,74
JACKSON,40,0,145
JASPER,14,1,176
JAY,3,0,57
JEFFERSON,6,0,85
JENNINGS,41,0,78
JOHNSON,212,7,1168
KNOX,9,0,81
KOSCIUSKO,14,0,199
LAGRANGE,6,1,46
LAKE,418,11,2172
LAPORTE,25,3,414
LAWRENCE,44,5,169
MADISON,137,11,500
MARION,2141,48,10234
MARSHALL,10,0,39
MARTIN,1,0,15
MIAMI,9,0,87
MONROE,54,0,394
MONTGOMERY,16,0,130
MORGAN,79,1,434
NEWTON,6,1,42
NOBLE,11,1,77
OHIO,1,0,8
ORANGE,14,2,78
OWEN,17,0,94
PARKE,6,0,41
PERRY,0,0,45
PIKE,0,0,11
PORTER,84,0,650
POSEY,5,0,11
PULASKI,1,0,32
PUTNAM,25,1,149
RANDOLPH,7,1,65
RIPLEY,76,2,180
RUSH,14,1,56
SCOTT,8,1,94
SHELBY,51,0,228
SPENCER,1,0,16
ST JOSEPH,129,1,411
STARKE,5,0,45
STEUBEN,9,0,98
SULLIVAN,3,0,38
SWITZERLAND,11,0,28
TIPPECANOE,36,1,721
TIPTON,8,0,48
UNION,3,0,16
VANDERBURGH,41,1,125
VERMILLION,2,0,31
VIGO,25,2,219
WABASH,5,0,57
WARREN,2,1,22
WARRICK,23,0,45
WASHINGTON,20,0,68
WAYNE,13,1,118
WELLS,2,0,35
WHITE,3,0,123
WHITLEY,8,1,33
