county,case_count,death_cases,lab_tests
ADAMS,4,0,28
ALLEN,119,9,697
BARTHOLOMEW,83,4,208
BENTON,0,0,40
BLACKFORD,4,0,48
BOONE,90,2,428
BROWN,9,1,29
CARROLL,4,0,54
CASS,18,1,54
CLARK,104,8,521
CLAY,11,0,86
CLINTON,11,1,153
CRAWFORD,12,0,62
DAVIESS,9,1,92
DEARBORN,59,3,144
DECATUR,118,8,182
DEKALB,5,0,46
DELAWARE,56,1,608
DUBOIS,10,0,79
ELKHART,61,3,817
FAYETTE,19,3,91
FLOYD,93,3,483
FOUNTAIN,3,1,56
FRANKLIN,66,7,132
FULTON,3,0,42
GIBSON,4,0,26
GRANT,32,2,194
GREENE,14,1,115
HAMILTON,431,19,1833
HANCOCK,109,4,634
HARRISON,50,1,225
HENDRICKS,287,8,1035
HENRY,20,0,213
HOWARD,46,4,274
HUNTINGTON,6,1,85
JACKSON,57,0,203
JASPER,15,1,202
JAY,4,0,65
JEFFERSON,10,0,113
JENNINGS,46,0,102
JOHNSON,270,16,1461
KNOX,13,0,93
KOSCIUSKO,17,1,250
LAGRANGE,9,1,53
LAKE,576,23,2653
LAPORTE,31,3,473
LAWRENCE,59,7,207
MADISON,204,13,729
MARION,2600,107,12185
MARSHALL,12,0,50
MARTIN,2,0,25
MIAMI,14,0,103
MONROE,70,0,479
MONTGOMERY,20,0,176
MORGAN,89,3,539
NEWTON,7,1,51
NOBLE,14,1,87
OHIO,1,0,9
ORANGE,13,2,91
OWEN,18,1,110
PARKE,6,0,57
PERRY,3,0,55
PIKE,0,0,18
PORTER,95,0,758
POSEY,5,0,13
PULASKI,1,0,40
PUTNAM,31,3,187
RANDOLPH,8,1,71
RIPLEY,79,3,222
RUSH,12,1,71
SCOTT,12,2,117
SHELBY,63,2,292
SPENCER,1,0,20
ST JOSEPH,165,2,487
STARKE,8,0,55
STEUBEN,12,1,124
SULLIVAN,4,0,47
SWITZERLAND,12,0,39
TIPPECANOE,42,1,815
TIPTON,9,0,55
UNION,5,0,18
VANDERBURGH,53,1,233
VERMILLION,3,0,42
VIGO,40,2,286
WABASH,7,0,68
WARREN,2,1,24
WARRICK,33,2,66
WASHINGTON,23,0,82
WAYNE,16,1,140
WELLS,3,0,43
WHITE,3,0,133
WHITLEY,10,1,39
