COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
ADAMS,6,1,65
ALLEN,167,13,999
BARTHOLOMEW,110,4,266
BENTON,2,0,51
BLACKFORD,6,0,66
BOONE,125,3,551
BROWN,13,1,37
CARROLL,6,1,76
CASS,28,1,76
CLARK,132,8,666
CLAY,12,0,117
CLINTON,12,1,198
CRAWFORD,12,0,76
DAVIESS,12,1,117
DEARBORN,60,4,167
DECATUR,153,10,252
DEKALB,6,0,49
DELAWARE,72,3,745
DUBOIS,13,0,106
ELKHART,100,3,1039
FAYETTE,20,3,102
FLOYD,111,5,570
FOUNTAIN,3,1,64
FRANKLIN,74,7,155
FULTON,3,0,65
GIBSON,4,0,28
GRANT,40,2,246
GREENE,25,1,155
HAMILTON,499,27,2529
HANCOCK,121,6,812
HARRISON,58,2,264
HENDRICKS,350,11,1331
HENRY,22,0,267
HOWARD,50,4,368
HUNTINGTON,6,1,96
JACKSON,70,0,294
JASPER,18,1,245
JAY,7,0,77
JEFFERSON,16,0,137
JENNINGS,58,0,136
JOHNSON,329,21,1827
KNOX,15,0,114
KOSCIUSKO,19,1,309
LAGRANGE,13,1,63
LAKE,819,31,3813
LAPORTE,36,3,562
LAWRENCE,73,7,272
MADISON,263,16,998
MARION,3063,141,15046
MARSHALL,17,0,223
MARTIN,5,0,36
MIAMI,17,0,133
MONROE,91,1,662
MONTGOMERY,23,0,223
MORGAN,104,3,648
NEWTON,29,1,82
NOBLE,17,1,100
OHIO,1,0,12
ORANGE,18,3,120
OWEN,19,1,148
PARKE,7,0,67
PERRY,3,0,62
PIKE,2,0,25
PORTER,127,2,977
POSEY,5,0,15
PULASKI,1,0,61
PUTNAM,38,3,269
RANDOLPH,11,1,105
RIPLEY,89,3,265
RUSH,16,1,100
SCOTT,17,2,147
SHELBY,77,3,345
SPENCER,3,0,29
ST JOSEPH,234,4,950
STARKE,10,1,102
STEUBEN,12,1,156
SULLIVAN,6,0,62
SWITZERLAND,12,0,54
TIPPECANOE,46,1,1015
TIPTON,10,0,70
UNION,6,0,21
VANDERBURGH,60,1,954
VERMILLION,3,0,48
VIGO,42,3,332
WABASH,7,0,81
WARREN,3,1,28
WARRICK,39,2,86
WASHINGTON,26,0,101
WAYNE,19,1,177
WELLS,4,0,59
WHITE,5,0,153
WHITLEY,14,1,50
