date,cases,deaths
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,4,0
2020-03-09,5,0
2020-03-10,10,2
2020-03-11,11,2
2020-03-12,12,2
2020-03-13,15,4
2020-03-14,15,4
2020-03-15,26,7
2020-03-16,30,9
2020-03-17,39,10
2020-03-18,56,11
2020-03-19,79,11
2020-03-20,124,12
2020-03-21,199,26
2020-03-22,256,36
2020-03-23,361,44
2020-03-24,474,55
2020-03-25,636,64
2020-03-26,939,83
2020-03-27,1221,97
2020-03-28,1510,121
2020-03-29,1781,135
2020-03-30,2154,158
2020-03-31,2560,176
2020-04-01,3029,202
2020-04-02,3427,221
2020-04-03,3942,231
2020-04-04,4403,248
2020-04-05,4931,263
2020-04-06,5489,276
2020-04-07,5916,288
2020-04-08,6339,293
2020-04-09,6907,300
